0,0,A,3
0,1,A,6
0,2,A,3
0,3,A,2
0,4,A,1
0,5,A,2
0,6,A,5
0,7,A,3
0,8,A,4
0,9,A,8
0,10,A,9
0,11,A,2
0,12,A,5
0,13,A,6
0,14,A,3
0,15,A,5
0,16,A,4
0,17,A,5
0,18,A,3
0,19,A,8
0,20,A,5
0,21,A,5
0,22,A,9
0,23,A,2
0,24,A,7
0,25,A,8
0,26,A,1
0,27,A,6
0,28,A,5
0,29,A,4
0,30,A,4
0,31,A,5
0,32,A,4
0,33,A,5
0,34,A,4
0,35,A,8
0,36,A,5
0,37,A,8
0,38,A,1
0,39,A,4
0,40,A,6
0,41,A,2
0,42,A,4
0,43,A,5
0,44,A,4
0,45,A,1
0,46,A,3
0,47,A,9
0,48,A,3
0,49,A,2
0,50,A,5
0,51,A,8
0,52,A,7
0,53,A,8
0,54,A,9
0,55,A,3
0,56,A,5
0,57,A,7
0,58,A,7
0,59,A,7
0,60,A,9
0,61,A,5
0,62,A,2
0,63,A,5
0,64,A,4
0,65,A,4
0,66,A,9
0,67,A,3
0,68,A,4
0,69,A,5
0,70,A,9
0,71,A,2
0,72,A,3
0,73,A,3
0,74,A,5
0,75,A,2
0,76,A,6
0,77,A,5
0,78,A,7
0,79,A,7
0,80,A,4
0,81,A,4
0,82,A,4
0,83,A,1
0,84,A,6
0,85,A,7
0,86,A,8
0,87,A,7
0,88,A,6
0,89,A,2
0,90,A,6
0,91,A,4
0,92,A,4
0,93,A,2
0,94,A,5
0,95,A,4
0,96,A,1
0,97,A,4
0,98,A,8
0,99,A,6
1,0,A,5
1,1,A,6
1,2,A,3
1,3,A,4
1,4,A,3
1,5,A,8
1,6,A,8
1,7,A,4
1,8,A,3
1,9,A,6
1,10,A,5
1,11,A,8
1,12,A,6
1,13,A,8
1,14,A,7
1,15,A,5
1,16,A,6
1,17,A,2
1,18,A,7
1,19,A,1
1,20,A,1
1,21,A,2
1,22,A,2
1,23,A,6
1,24,A,9
1,25,A,1
1,26,A,3
1,27,A,8
1,28,A,7
1,29,A,1
1,30,A,6
1,31,A,4
1,32,A,9
1,33,A,1
1,34,A,5
1,35,A,8
1,36,A,3
1,37,A,8
1,38,A,9
1,39,A,6
1,40,A,4
1,41,A,9
1,42,A,4
1,43,A,6
1,44,A,1
1,45,A,6
1,46,A,3
1,47,A,2
1,48,A,6
1,49,A,1
1,50,A,7
1,51,A,5
1,52,A,3
1,53,A,9
1,54,A,9
1,55,A,3
